date,News
"17 November, 2024","Trading of the shares of the company will resume on 18.11.2024."
"17 November, 2024","(Q1 Un-audited): Consolidated EPS was Tk. 2.35 for July-September 2024 as against Tk. 1.64 for July-September 2023; Consolidated NOCFPS was Tk. (3.86) for July-September 2024 as against Tk. 3.86 for July-September 2023. Consolidated NAV per share was Tk. 71.30 as on September 30, 2024 and Tk. 68.94 as on June 30, 2024. Reasons for deviation: Consolidated NOCFPS decreased due to ensure adequate inventory in the upcoming season over SPLY."
"14 November, 2024","Trading of the shares of the company will remain suspended on the record date, i.e., 17.11.2024."
"10 November, 2024","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on November 14, 2024 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended September 30, 2024."
"29 October, 2024","There will be no price limit on the trading of the shares of the Company today (29.10.2024) following its corporate declaration."
"29 October, 2024","The Board of Directors has recommended 20\% cash dividend for the year ended June 30, 2024. Date of AGM: 29.12.2024, Time: 10:00 AM, Venue: Digital Platform. Record Date: 17.11.2024. The Company has also reported Consolidated EPS of Tk. 6.88, Consolidated NAV per share of Tk. 68.94 and Consolidated NOCFPS of Tk. 14.78 for the year ended June 30, 2024 as against Tk. 4.97, Tk. 64.57 and Tk. 0.24 respectively for the year ended June 30, 2023."
"21 October, 2024","As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 28, 2024 at 2:45 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2024."
"30 April, 2024","(Q3 Un-audited): Consolidated EPS was Tk. 2.04 for January-March 2024 as against Tk. 1.33 for January-March 2023; Consolidated EPS was Tk. 6.38 for July 2023-March 2024 as against Tk. 5.36 for July 2022-March 2023. Consolidated NOCFPS was Tk. 8.65 for July 2023-March 2024 as against Tk. (11.29) for July 2022-March 2023. Consolidated NAV per share was Tk. 68.45 as on March 31, 2024 and Tk. 64.57 as on June 30, 2023.NOCFPS has increased due to liquidation of inventory and efficient working capital management"
"23 April, 2024","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on April 29, 2024 at 02:45 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended March 31, 2024."
"21 April, 2024","The Company has informed that it has disbursed the Cash Dividend for the year ended June 30, 2023 to the respective shareholders."
"31 January, 2024","(Continuation news of ACIFORMULA): Reasons for deviation in EPS, NAVPS and NOCFPS:EPS has been increased due to higher operating profit led to consolidated profit after tax of Tk. 205.27 Mn against Tk 190.70 Mn of SPLY resulting in higher consolidated EPS and NAV per share. On the other hand, consolidated NOCFPS increased due to liquidation of inventory and efficient working capital management. (end)"
"31 January, 2024","(Q2 Un-audited): Consolidated EPS was Tk. 2.70 for October-December 2023 as against Tk. 2.49 for October-December 2022; Consolidated EPS was Tk. 4.34 for July-December 2023 as against Tk. 4.04 for July-December 2022. Consolidated NOCFPS was Tk. 6.89 for July-December 2023 as against Tk. (16.30) for July-December 2022. Consolidated NAV per share was Tk. 66.41 as on December 31, 2023 and Tk. 64.57 as on June 30, 2023. (cont.1)"
